rowname model jaccard
NT5020 NT5024 0.40034965034965037
NT5020 NT5025 0.38653846153846155
NT5020 NT5026 0.4432515337423312
NT5020 NT5032 0.41083916083916083
NT5020 NT5037 0.4239482200647249
NT5020 NT5038 0.4527272727272727
NT5020 NT5040 0.4615384615384615
NT5020 NT5042 0.4649122807017544
NT5020 NT5044 0.4831460674157304
NT5020 NT5045 0.45173041894353366
NT5020 NT5046 0.44655172413793104
NT5020 NT5048 0.41535776614310643
NT5020 NT5049 0.2799295774647887
NT5020 NT5051 0.31283905967450265
NT5020 NT5052 0.2878228782287823
NT5020 NT5068 0.44256756756756754
NT5020 NT5072 0.4356617647058824
NT5020 NT5074 0.3095652173913043
NT5020 NT5075 0.40787119856887294
NT5020 NT5076 0.41077441077441074
NT5020 NT5077 0.47115384615384615
NT5020 YK0001 0.411965811965812
NT5020 YK0002 0.432013769363167
NT5021 NT5001 0.3247863247863248
NT5021 NT5002 0.33895446880269814
NT5021 NT5003 0.30338983050847457
NT5021 NT5004 0.30782029950083195
NT5021 NT5005 0.370242214532872
NT5021 NT5006 0.36427320490367776
NT5021 NT5007 0.5335753176043556
NT5021 NT5008 0.38954468802698144
NT5021 NT5009 0.3480475382003396
NT5021 NT5011 0.36394557823129253
NT5021 NT5013 0.364120781527531
NT5021 NT5014 0.35555555555555557
NT5021 NT5019 0.3459552495697074
NT5021 NT5020 0.34981684981684985
NT5021 NT5021 0
NT5021 NT5022 0.4166666666666667
NT5021 NT5023 0.3769363166953529
NT5021 NT5024 0.33797909407665505
NT5021 NT5025 0.46234676007005254
NT5021 NT5026 0.37846153846153846
NT5021 NT5032 0.45098039215686275
NT5021 NT5037 0.3766025641025641
NT5021 NT5038 0.3963963963963964
NT5021 NT5040 0.3713768115942029
NT5021 NT5042 0.4638655462184874
NT5021 NT5044 0.4277777777777778
NT5021 NT5045 0.3627992633517495
NT5021 NT5046 0.3876500857632933
NT5021 NT5048 0.3587521663778163
NT5021 NT5049 0.3122923588039867
NT5021 NT5051 0.31542461005199307
NT5021 NT5052 0.3094405594405594
NT5021 NT5068 0.38215488215488214
NT5021 NT5072 0.46020761245674746
NT5021 NT5074 0.2806122448979592
NT5021 NT5075 0.36155202821869487
NT5021 NT5076 0.3616666666666667
NT5021 NT5077 0.41540577716643745
NT5021 YK0001 0.362098138747885
NT5021 YK0002 0.39527027027027023
NT5022 NT5001 0.4461805555555555
NT5022 NT5002 0.4098939929328622
NT5022 NT5003 0.44217687074829926
NT5022 NT5004 0.42833052276559863
NT5022 NT5005 0.4389799635701275
NT5022 NT5006 0.3889943074003795
NT5022 NT5007 0.515400410677618
NT5022 NT5008 0.4324324324324324
NT5022 NT5009 0.45296167247386765
NT5022 NT5011 0.40834845735027225
NT5022 NT5013 0.4315196998123827
NT5022 NT5014 0.4616858237547893
NT5022 NT5019 0.4631578947368421
NT5022 NT5020 0.47476635514018695
NT5022 NT5021 0.4166666666666667
NT5022 NT5022 0
NT5022 NT5023 0.29083665338645415
NT5022 NT5024 0.42286751361161523
NT5022 NT5025 0.5395948434622467
NT5022 NT5026 0.43709677419354837
NT5022 NT5032 0.493891797556719
NT5022 NT5037 0.4027538726333907
NT5022 NT5038 0.4059405940594059
NT5022 NT5040 0.41015625000000006
NT5022 NT5042 0.4328922495274102
NT5022 NT5044 0.18095238095238095
NT5022 NT5045 0.392
NT5022 NT5046 0.41959334565619216
NT5022 NT5048 0.4007421150278293
NT5022 NT5049 0.46115702479338844
NT5022 NT5051 0.42451154529307283
NT5022 NT5052 0.41651705565529623
NT5022 NT5068 0.4187725631768953
NT5022 NT5072 0.44594594594594594
NT5022 NT5074 0.451505016722408
NT5022 NT5075 0.437037037037037
NT5022 NT5076 0.42456140350877186
NT5022 NT5077 0.5139275766016713
NT5022 YK0001 0.3886861313868613
NT5022 YK0002 0.3648393194706995
NT5023 NT5001 0.39379084967320266
NT5023 NT5002 0.375
NT5023 NT5003 0.35947712418300654
NT5023 NT5004 0.33605220228384997
NT5023 NT5005 0.3846153846153846
NT5023 NT5006 0.32976827094474154
NT5023 NT5007 0.5227686703096539
NT5023 NT5008 0.3790186125211506
NT5023 NT5009 0.37603993344425957
NT5023 NT5011 0.3447684391080617
NT5023 NT5013 0.35294117647058826
NT5023 NT5014 0.45580589254766024
NT5023 NT5019 0.37436762225969644
NT5023 NT5020 0.4467353951890034
NT5023 NT5021 0.3769363166953529
NT5023 NT5022 0.29083665338645415
NT5023 NT5023 0
NT5023 NT5024 0.38344594594594594
NT5023 NT5025 0.4810344827586207
NT5023 NT5026 0.3275316455696203
NT5023 NT5032 0.41235392320534225
